state,year_month,total_bio_updates
andaman and nicobar islands,2025-03,2703
andaman and nicobar islands,2025-04,2744
andaman and nicobar islands,2025-05,1895
andaman and nicobar islands,2025-06,1944
andaman and nicobar islands,2025-07,2828
andaman and nicobar islands,2025-09,2642
andaman and nicobar islands,2025-10,1299
andaman and nicobar islands,2025-11,1636
andaman and nicobar islands,2025-12,2297
andhra pradesh,2025-03,403296
andhra pradesh,2025-04,608589
andhra pradesh,2025-05,500660
andhra pradesh,2025-06,508472
andhra pradesh,2025-07,334226
andhra pradesh,2025-09,213697
andhra pradesh,2025-10,327181
andhra pradesh,2025-11,366090
andhra pradesh,2025-12,348564
arunachal pradesh,2025-03,7400
arunachal pradesh,2025-04,8375
arunachal pradesh,2025-05,8305
arunachal pradesh,2025-06,7138
arunachal pradesh,2025-07,8442
arunachal pradesh,2025-09,7333
arunachal pradesh,2025-10,5884
arunachal pradesh,2025-11,9477
arunachal pradesh,2025-12,7705
assam,2025-03,92931
assam,2025-04,139659
assam,2025-05,83841
assam,2025-06,71576
assam,2025-07,95172
assam,2025-09,94145
assam,2025-10,122569
assam,2025-11,101229
assam,2025-12,144028
bihar,2025-03,763509
bihar,2025-04,795719
bihar,2025-05,552199
bihar,2025-06,494457
bihar,2025-07,604061
bihar,2025-09,355613
bihar,2025-10,241519
bihar,2025-11,369361
bihar,2025-12,602530
chandigarh,2025-03,6430
chandigarh,2025-04,7921
chandigarh,2025-05,6566
chandigarh,2025-06,5230
chandigarh,2025-07,32547
chandigarh,2025-09,4237
chandigarh,2025-10,2305
chandigarh,2025-11,3929
chandigarh,2025-12,4387
chhattisgarh,2025-03,171392
chhattisgarh,2025-04,287729
chhattisgarh,2025-05,266716
chhattisgarh,2025-06,359914
chhattisgarh,2025-07,346567
chhattisgarh,2025-09,197859
chhattisgarh,2025-10,145331
chhattisgarh,2025-11,298218
chhattisgarh,2025-12,485385
dadra and nagar haveli and daman and diu,2025-03,5087
dadra and nagar haveli and daman and diu,2025-04,4873
dadra and nagar haveli and daman and diu,2025-05,5248
dadra and nagar haveli and daman and diu,2025-06,4118
dadra and nagar haveli and daman and diu,2025-07,4825
dadra and nagar haveli and daman and diu,2025-09,6424
dadra and nagar haveli and daman and diu,2025-10,1302
dadra and nagar haveli and daman and diu,2025-11,3236
dadra and nagar haveli and daman and diu,2025-12,3729
delhi,2025-03,164368
delhi,2025-04,273966
delhi,2025-05,187658
delhi,2025-06,136102
delhi,2025-07,172708
delhi,2025-09,101989
delhi,2025-10,45108
delhi,2025-11,81952
delhi,2025-12,118093
goa,2025-03,8983
goa,2025-04,9312
goa,2025-05,8728
goa,2025-06,7353
goa,2025-07,7400
goa,2025-09,4692
goa,2025-10,4953
goa,2025-11,7937
goa,2025-12,7196
gujarat,2025-03,396391
gujarat,2025-04,374310
gujarat,2025-05,452907
gujarat,2025-06,437361
gujarat,2025-07,541874
gujarat,2025-09,270696
gujarat,2025-10,79707
gujarat,2025-11,239399
gujarat,2025-12,355243
haryana,2025-03,191374
haryana,2025-04,216642
haryana,2025-05,170812
haryana,2025-06,165272
haryana,2025-07,267325
haryana,2025-09,143669
haryana,2025-10,96547
haryana,2025-11,154642
haryana,2025-12,193981
himachal pradesh,2025-03,55452
himachal pradesh,2025-04,52041
himachal pradesh,2025-05,32054
himachal pradesh,2025-06,38939
himachal pradesh,2025-07,48414
himachal pradesh,2025-09,29753
himachal pradesh,2025-10,32031
himachal pradesh,2025-11,50360
himachal pradesh,2025-12,46220
jammu and kashmir,2025-03,98299
jammu and kashmir,2025-04,89932
jammu and kashmir,2025-05,77298
jammu and kashmir,2025-06,79215
jammu and kashmir,2025-07,102251
jammu and kashmir,2025-09,49312
jammu and kashmir,2025-10,62406
jammu and kashmir,2025-11,94009
jammu and kashmir,2025-12,118864
jharkhand,2025-03,330286
jharkhand,2025-04,378962
jharkhand,2025-05,232396
jharkhand,2025-06,198929
jharkhand,2025-07,256798
jharkhand,2025-09,161345
jharkhand,2025-10,83701
jharkhand,2025-11,158098
jharkhand,2025-12,195413
karnataka,2025-03,312129
karnataka,2025-04,300403
karnataka,2025-05,354026
karnataka,2025-06,337504
karnataka,2025-07,374362
karnataka,2025-09,212722
karnataka,2025-10,170362
karnataka,2025-11,219860
karnataka,2025-12,320711
kerala,2025-03,172725
kerala,2025-04,180318
kerala,2025-05,247491
kerala,2025-06,223183
kerala,2025-07,231320
kerala,2025-09,126408
kerala,2025-10,96301
kerala,2025-11,137704
kerala,2025-12,170319
ladakh,2025-03,956
ladakh,2025-04,1003
ladakh,2025-05,552
ladakh,2025-06,339
ladakh,2025-07,652
ladakh,2025-09,697
ladakh,2025-10,416
ladakh,2025-11,409
ladakh,2025-12,635
lakshadweep,2025-03,425
lakshadweep,2025-04,706
lakshadweep,2025-05,701
lakshadweep,2025-06,574
lakshadweep,2025-07,608
lakshadweep,2025-09,328
lakshadweep,2025-10,453
lakshadweep,2025-11,423
lakshadweep,2025-12,527
madhya pradesh,2025-03,663358
madhya pradesh,2025-04,834670
madhya pradesh,2025-05,779064
madhya pradesh,2025-06,891131
madhya pradesh,2025-07,1004035
madhya pradesh,2025-09,456505
madhya pradesh,2025-10,217008
madhya pradesh,2025-11,375111
madhya pradesh,2025-12,598854
maharashtra,2025-03,959149
maharashtra,2025-04,846049
maharashtra,2025-05,947776
maharashtra,2025-06,1017490
maharashtra,2025-07,1230369
maharashtra,2025-09,1100873
maharashtra,2025-10,690606
maharashtra,2025-11,1146455
maharashtra,2025-12,1081943
manipur,2025-03,15666
manipur,2025-04,16868
manipur,2025-05,15802
manipur,2025-06,11300
manipur,2025-07,86754
manipur,2025-09,20735
manipur,2025-10,32426
manipur,2025-11,57408
manipur,2025-12,18941
meghalaya,2025-03,11817
meghalaya,2025-04,11865
meghalaya,2025-05,11226
meghalaya,2025-06,10839
meghalaya,2025-07,14360
meghalaya,2025-09,6910
meghalaya,2025-10,7338
meghalaya,2025-11,7149
meghalaya,2025-12,5070
mizoram,2025-03,51069
mizoram,2025-04,24235
mizoram,2025-05,7920
mizoram,2025-06,7384
mizoram,2025-07,8161
mizoram,2025-09,6491
mizoram,2025-10,5174
mizoram,2025-11,3656
mizoram,2025-12,5070
nagaland,2025-03,15893
nagaland,2025-04,14868
nagaland,2025-05,14167
nagaland,2025-06,11325
nagaland,2025-07,13864
nagaland,2025-09,9382
nagaland,2025-10,9638
nagaland,2025-11,9654
nagaland,2025-12,9480
odisha,2025-03,352037
odisha,2025-04,297648
odisha,2025-05,295436
odisha,2025-06,272081
odisha,2025-07,325308
odisha,2025-09,223677
odisha,2025-10,205453
odisha,2025-11,212251
odisha,2025-12,239156
puducherry,2025-03,5928
puducherry,2025-04,5642
puducherry,2025-05,6619
puducherry,2025-06,6562
puducherry,2025-07,8005
puducherry,2025-09,12832
puducherry,2025-10,5349
puducherry,2025-11,9158
puducherry,2025-12,8390
punjab,2025-03,260570
punjab,2025-04,212563
punjab,2025-05,194508
punjab,2025-06,221505
punjab,2025-07,277717
punjab,2025-09,137630
punjab,2025-10,97134
punjab,2025-11,131738
punjab,2025-12,184480
rajasthan,2025-03,424206
rajasthan,2025-04,376914
rajasthan,2025-05,324061
rajasthan,2025-06,416695
rajasthan,2025-07,650116
rajasthan,2025-09,684413
rajasthan,2025-10,156542
rajasthan,2025-11,375617
rajasthan,2025-12,519433
sikkim,2025-03,4554
sikkim,2025-04,4536
sikkim,2025-05,2972
sikkim,2025-06,2057
sikkim,2025-07,2450
sikkim,2025-09,1842
sikkim,2025-10,1098
sikkim,2025-11,1702
sikkim,2025-12,1365
tamil nadu,2025-03,680675
tamil nadu,2025-04,491490
tamil nadu,2025-05,492262
tamil nadu,2025-06,511757
tamil nadu,2025-07,552778
tamil nadu,2025-09,321118
tamil nadu,2025-10,342477
tamil nadu,2025-11,551417
tamil nadu,2025-12,628178
telangana,2025-03,169652
telangana,2025-04,142160
telangana,2025-05,167061
telangana,2025-06,205116
telangana,2025-07,226619
telangana,2025-09,177244
telangana,2025-10,183372
telangana,2025-11,193899
telangana,2025-12,213154
tripura,2025-03,61839
tripura,2025-04,47615
tripura,2025-05,29969
tripura,2025-06,32493
tripura,2025-07,30667
tripura,2025-09,14988
tripura,2025-10,15393
tripura,2025-11,25307
tripura,2025-12,27053
uttar pradesh,2025-03,1131504
uttar pradesh,2025-04,1257448
uttar pradesh,2025-05,1048878
uttar pradesh,2025-06,856455
uttar pradesh,2025-07,1426001
uttar pradesh,2025-09,1015373
uttar pradesh,2025-10,528929
uttar pradesh,2025-11,1008469
uttar pradesh,2025-12,1094026
uttarakhand,2025-03,61294
uttarakhand,2025-04,73472
uttarakhand,2025-05,62922
uttarakhand,2025-06,59777
uttarakhand,2025-07,83007
uttarakhand,2025-09,62929
uttarakhand,2025-10,38735
uttarakhand,2025-11,103575
uttarakhand,2025-12,195085
west bengal,2025-03,268875
west bengal,2025-04,250432
west bengal,2025-05,289260
west bengal,2025-06,287702
west bengal,2025-07,419961
west bengal,2025-09,276766
west bengal,2025-10,177641
west bengal,2025-11,260098
west bengal,2025-12,251443
